"","pID","condition","know_pd_1","know_pd_2","know_pd_3","know_pd_4","l_cards","donate_1","motivation_1","motivation_2","motivation_3","motivation_4","motivation_5","motivation_6","motivation_7","motivation_8","motivation_9","motivation_10","motivation_11","motivation_12","motivation_13","motivation_14","motivation_15","motivation_16","motivation_17","motivation_18","motivation_19","motivation_20","motivation_21","motivation_22","motivation_23","motivation_24","motivation_25","motivation_26","motivation_27","motivation_28","motivation_29","motivation_30","Gender","Age","Birth","Country","Qualificat","Employment","Profession","prosoc_1","prosoc_2","prosoc_3","prosoc_4","prosoc_5","prosoc_6","prosoc_7","prosoc_8","prosoc_9","prosoc_10","prosoc_11","prosoc_12","prosoc_13","prosoc_14","prosoc_15","prosoc_16","prosoc_17","prosoc_18","prosoc_19","prosoc_20","prosoc_21","prosoc_22","prosoc_23","alt_beh1","alt_beh2","alt_beh3","alt_beh4","alt_beh5","alt_beh6","alt_beh7","alt_beh9","alt_beh8","alt_beh11","alt_beh14","alt_beh10","alt_beh12","alt_beh13","empathy_1","empathy_2","empathy_3","empathy_4","empathy_5","empathy_7","empathy_8","empathy_9","empathy_10","empathy_11","empathy_12","empathy_13","empathy_14","empathy_15","empathy_16","empathy_17","empathy_18","empathy_19","empathy_20","empathy_21","empathy_22","empathy_23","empathy_24","empathy_25","empathy_6","empathy_26","empathy_27","empathy_28","big5_1","big5_2","big5_3","big5_4","big5_5","big5_6","big5_7","big5_8","big5_9","big5_10","big5_11","big5_12","big5_13","big5_14","big5_15","big5_16","big5_17","big5_18","big5_19","big5_20","big5_21","big5_22","big5_23","big5_24","big5_25","big5_26","big5_27","big5_28","big5_29","big5_30","big5_31","big5_32","big5_33","big5_34","big5_35"
"1671",1671,3,NA,1,1,NA,5,1,1,1,1,1,3,1,5,1,1,1,1,1,5,1,1,5,2,4,1,4,1,5,1,3,5,1,1,1,2,1,2,NA,2,1,6,1,"Academic",1,2,1,1,1,2,5,3,3,3,2,2,1,2,3,1,2,5,3,1,2,2,3,5,4,2,5,3,3,5,1,4,5,4,4,3,4,1,3,2,1,1,2,4,5,1,4,1,3,1,2,1,1,1,4,3,5,3,1,1,5,1,3,1,4,8,8,8,7,8,8,5,8,8,8,5,7,7,8,5,9,8,8,8,9,7,6,7,8,8,8,8,7,9,9,8,9,8,7,8
"1672",1672,3,NA,1,1,NA,4,7,4,4,3,3,4,3,4,3,3,1,3,1,3,3,1,4,4,4,3,4,1,4,3,3,4,3,2,3,3,3,2,28,1,1,6,5,"",4,1,3,2,3,2,3,4,3,4,3,1,1,3,3,1,2,4,3,1,2,2,1,4,3,4,4,1,2,3,2,4,3,3,1,3,2,5,4,1,3,5,1,5,4,4,5,1,3,1,3,5,3,1,2,4,5,4,5,3,5,4,5,2,5,3,6,5,3,5,4,5,5,6,5,4,5,6,6,5,7,7,7,5,5,5,1,1,1,6,4,3,5,8,5,9,8,8,9,3
"1674",1674,3,1,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1677",1677,3,NA,1,NA,NA,4,4,4,5,3,3,5,1,4,1,2,1,3,2,2,4,1,5,4,5,4,5,2,5,5,3,5,2,3,3,2,3,2,56,1,1,5,1,"technical specialist",1,4,1,1,1,3,2,3,2,5,2,2,1,3,2,1,2,2,2,2,4,2,2,4,1,1,5,5,3,3,2,3,3,3,3,3,3,2,2,1,3,2,3,4,2,2,4,2,2,2,4,2,4,2,3,3,4,3,3,1,3,2,2,1,4,4,8,3,5,8,5,9,6,7,6,7,6,6,7,8,8,8,8,8,8,7,7,5,5,7,5,5,7,6,8,6,8,6,6,5
"1683",1683,3,NA,1,1,NA,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,61,1,1,5,2,"Social Work Lecturer",1,2,1,1,1,1,4,5,1,1,1,1,1,2,4,1,1,3,1,1,1,1,1,3,1,1,5,5,1,2,1,4,3,3,2,3,1,1,3,3,1,3,5,3,4,3,3,3,4,1,3,1,1,5,5,4,5,4,3,1,3,1,1,1,3,7,6,5,8,5,9,4,9,9,9,9,9,9,6,9,9,9,9,9,8,9,7,4,8,1,9,9,5,7,5,8,7,5,5,5
"1684",1684,3,NA,1,1,NA,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,5,1,2,5,1,1,1,3,1,1,1,1,51,1,1,5,5,"",1,2,1,1,1,4,2,4,4,2,2,3,1,2,2,1,1,1,2,1,1,4,1,5,4,3,5,4,5,5,3,5,5,5,3,2,5,3,3,3,3,3,3,4,5,1,3,3,4,3,3,3,3,2,5,2,3,3,2,1,3,1,3,1,3,5,2,5,5,4,5,7,5,5,5,5,5,5,9,3,5,5,2,5,6,5,4,6,7,5,5,7,3,8,8,8,8,9,9,8
"1687",1687,3,NA,1,NA,NA,4,5,2,5,3,3,5,3,5,3,1,3,5,3,4,4,2,4,5,5,4,5,2,5,4,1,5,3,2,2,4,1,1,22,1,1,5,5,"",1,5,1,1,1,5,5,4,3,3,1,5,1,4,5,1,3,5,5,1,4,2,1,4,3,3,3,2,3,3,1,3,2,3,4,4,4,5,3,2,2,4,1,5,5,1,5,3,5,3,3,4,2,2,4,5,5,4,4,1,4,2,4,1,5,8,5,9,5,7,9,6,9,9,9,7,9,9,9,9,9,9,4,9,9,6,8,7,7,9,9,9,5,9,9,9,9,7,3,9
"1691",1691,3,NA,1,NA,NA,4,6,5,4,4,4,4,3,1,1,4,1,5,4,4,4,1,4,4,4,4,2,4,4,4,2,4,2,2,4,2,5,1,25,1,1,6,5,"",3,2,2,2,1,2,4,1,1,1,2,3,1,3,2,1,1,3,4,2,1,1,2,4,1,3,3,4,3,5,1,3,4,1,1,3,1,4,2,4,4,4,3,4,4,2,4,1,4,4,2,2,1,2,4,2,4,2,4,2,3,2,4,1,4,3,7,3,6,8,6,5,6,8,8,8,7,8,6,6,6,7,7,7,6,8,9,9,8,7,9,9,8,9,8,5,8,6,5,8
"1699",1699,3,NA,1,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1709",1709,3,NA,1,NA,NA,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1714",1714,3,NA,1,NA,NA,5,2,3,2,3,1,4,1,5,3,3,3,1,2,3,3,1,4,4,5,4,5,1,5,3,2,5,2,2,2,3,3,1,43,1,1,6,1,"",1,5,1,2,1,3,3,5,3,1,4,5,1,3,4,1,4,3,4,1,4,5,1,4,4,4,4,3,2,4,1,4,5,3,2,2,5,4,4,3,2,3,2,3,4,3,4,1,3,1,1,4,4,1,3,4,3,4,4,2,4,3,3,2,4,5,3,5,4,3,4,3,7,5,8,4,8,4,4,2,8,7,4,6,4,5,8,3,5,5,5,2,4,7,6,9,8,6,5,4
"1720",1720,3,NA,1,NA,NA,4,2,3,3,3,2,4,2,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,4,4,3,4,3,3,3,3,3,2,30,1,1,6,1,"Scientist",2,2,2,2,2,3,4,2,3,3,2,3,2,2,2,2,3,3,3,2,3,2,4,5,3,1,4,3,2,3,1,3,5,3,2,5,3,3,3,2,2,2,4,2,4,5,4,5,4,2,2,3,4,2,4,3,4,2,3,2,3,3,2,2,5,5,7,5,3,6,5,3,5,7,8,5,7,5,4,9,7,8,9,8,7,7,6,4,4,5,7,7,5,7,8,5,7,5,5,3
"1727",1727,3,NA,NA,1,NA,4,5,4,5,4,4,5,3,5,4,4,4,3,5,4,4,4,4,5,4,5,4,4,4,5,3,4,4,4,3,4,5,2,19,1,1,3,5,"",2,5,2,2,3,4,4,4,4,3,4,3,2,5,3,2,4,4,3,5,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1733",1733,3,NA,1,1,NA,4,7,3,2,2,3,4,3,4,1,1,1,5,1,5,3,3,4,4,4,3,4,1,4,4,1,5,1,1,3,1,1,2,58,1,1,6,2,"Lecturer",1,2,1,1,1,4,4,5,3,2,3,3,1,3,3,1,1,4,3,1,2,1,1,5,4,4,5,3,3,5,2,3,5,3,4,3,5,1,4,1,1,3,2,5,4,1,4,2,4,2,2,1,1,1,4,2,5,2,2,1,4,1,3,1,4,7,8,7,7,8,8,7,8,9,8,8,8,9,8,8,9,8,9,8,9,5,8,8,8,8,9,9,5,8,7,7,8,7,7,7
"1746",1746,3,NA,1,1,NA,4,7,3,5,5,3,5,4,3,1,4,2,4,2,5,4,1,5,3,3,4,3,3,5,4,3,5,1,3,2,3,4,2,28,1,1,5,1,"Administrator",1,2,1,1,1,4,5,3,4,3,2,4,1,3,2,1,3,4,3,2,2,2,2,4,1,1,4,1,1,4,1,3,3,1,1,3,3,5,2,1,2,5,1,4,5,3,4,1,4,2,3,5,5,1,4,2,5,2,5,3,4,5,5,3,4,5,1,8,7,3,9,6,6,6,4,4,3,4,5,7,8,8,8,9,6,3,1,1,1,3,7,5,9,8,8,6,9,8,9,7
"1748",1748,3,NA,1,1,NA,4,6,4,5,2,3,4,3,4,3,2,2,5,2,4,3,1,4,3,4,4,4,2,4,3,3,4,2,2,3,3,2,2,52,2,1,6,1,"lecturer",2,3,1,1,1,3,4,5,1,2,3,2,1,3,3,1,1,4,2,1,2,1,1,3,2,2,5,3,3,3,1,4,5,2,3,3,3,3,3,1,1,4,1,5,4,3,4,1,3,1,1,1,4,1,2,4,5,4,2,2,4,4,4,2,4,4,8,7,5,8,4,8,8,7,9,6,9,9,7,3,8,8,4,5,9,8,9,9,9,8,9,9,4,8,7,9,8,9,8,6
"1750",1750,3,1,NA,NA,NA,4,1,4,5,3,2,5,3,4,2,1,1,4,4,3,4,1,5,4,5,4,5,2,5,3,1,5,1,4,3,4,4,2,21,1,1,5,5,"",1,4,1,1,3,3,5,5,4,1,1,3,2,4,1,1,1,5,3,3,5,1,5,3,1,3,5,5,2,4,1,3,5,1,3,5,4,4,4,3,1,5,1,3,4,3,4,1,4,1,4,3,5,1,4,5,3,5,5,1,1,1,5,1,2,4,6,4,4,7,5,4,9,9,8,8,8,5,9,6,9,7,7,7,6,1,5,2,3,4,3,4,1,8,5,9,9,9,7,8
"1753",1753,3,NA,NA,1,NA,4,7,5,3,5,5,5,1,3,1,3,1,5,4,5,5,2,1,3,4,3,3,1,5,5,1,5,1,1,5,1,4,1,24,1,1,6,5,"Student + Business Partnership Assistant",3,1,3,1,1,3,2,1,4,3,3,1,3,4,3,1,1,4,3,3,1,1,4,4,3,1,3,1,4,3,1,3,3,3,3,4,1,3,3,1,2,2,4,5,4,3,5,3,5,4,2,1,4,2,4,2,5,4,3,2,5,2,3,1,5,6,6,6,4,6,6,7,6,7,9,7,8,5,6,8,8,9,6,6,6,4,7,4,6,4,7,7,4,7,9,9,9,7,5,7
"1757",1757,3,NA,1,NA,NA,5,4,1,4,1,1,4,1,4,1,1,1,3,1,3,1,1,4,3,1,1,1,1,4,2,1,4,1,3,1,1,1,2,65,1,1,5,6,"",1,3,1,1,1,4,3,1,3,3,3,3,1,1,3,1,1,3,3,1,4,1,1,4,3,3,3,1,3,4,3,3,5,4,3,3,4,2,4,3,3,4,3,4,4,3,4,1,4,2,2,1,3,3,4,4,4,4,3,1,4,3,4,1,4,5,2,7,5,8,5,5,8,8,7,7,7,6,5,6,8,8,8,6,6,8,6,6,5,8,8,7,6,8,8,8,7,6,6,5
"1764",1764,3,NA,1,1,NA,4,6,1,4,4,1,4,3,2,1,1,1,5,1,4,1,1,4,4,5,4,4,2,4,4,1,4,2,3,1,3,2,2,19,1,1,3,5,"",1,5,1,1,1,3,5,3,3,3,3,4,1,3,2,1,4,5,4,1,5,3,1,4,3,3,4,5,5,5,1,5,3,3,4,5,3,5,5,2,1,5,1,4,5,2,4,1,1,1,2,3,5,1,5,5,4,5,3,1,1,1,4,2,4,7,7,8,3,6,6,7,7,8,8,8,9,9,6,8,8,8,5,9,9,7,4,5,3,3,5,7,1,7,8,7,9,7,2,5
"1769",1769,3,NA,1,NA,NA,4,1,4,4,4,4,2,4,4,3,3,3,4,3,4,3,4,3,3,4,4,2,4,3,4,4,3,4,3,3,3,2,1,19,1,1,3,5,"",3,4,4,4,2,4,4,4,4,3,2,3,3,4,3,3,2,4,2,3,4,1,4,4,3,3,4,4,4,4,3,4,4,3,3,2,2,4,4,4,3,4,3,4,3,3,4,3,4,4,3,3,4,3,4,2,4,3,2,4,3,4,4,3,3,4,3,2,3,4,4,4,3,3,2,3,3,2,3,3,2,3,3,3,3,3,3,4,3,3,2,2,3,3,3,2,3,3,3,3
"1774",1774,3,NA,1,NA,NA,4,3,2,4,1,2,4,2,4,2,1,1,4,1,2,1,1,5,2,3,2,4,1,5,4,2,5,2,2,1,1,2,2,21,1,1,5,5,"",1,3,1,1,1,3,3,2,1,1,2,3,1,3,4,1,2,4,4,1,1,1,3,3,1,1,3,5,3,3,1,3,2,1,5,3,3,3,2,2,3,5,2,3,4,4,4,1,4,2,4,5,4,3,4,5,4,1,5,1,4,3,5,1,3,3,6,4,5,9,7,8,6,6,7,7,7,5,7,9,9,9,9,8,9,7,7,7,7,6,8,8,6,9,9,6,9,5,7,9
"1781",1781,3,1,NA,NA,NA,4,3,3,2,3,3,4,3,3,3,2,4,4,2,3,3,2,3,2,4,3,3,3,4,2,2,2,3,2,3,2,2,1,18,2,1,3,5,"Solicitor",4,4,3,3,3,2,3,4,4,3,4,4,3,2,3,3,3,3,4,4,4,3,4,3,1,1,3,3,3,5,1,3,1,1,1,3,1,3,2,3,5,4,2,3,4,4,2,4,4,3,3,4,3,3,4,1,2,4,5,1,1,3,2,3,4,1,1,1,2,6,4,2,1,1,6,2,2,3,3,4,5,5,7,4,4,6,8,4,4,3,7,2,9,6,8,3,4,6,1,6
"1784",1784,3,NA,1,1,NA,4,5,2,5,3,1,5,1,4,1,3,1,4,3,4,2,1,5,3,5,4,5,1,5,4,1,5,1,1,2,2,3,1,47,1,1,6,5,"",1,1,2,1,1,4,3,4,2,4,3,2,1,4,5,1,1,2,5,1,1,2,2,5,5,3,4,4,4,5,3,4,4,3,4,5,5,4,2,3,3,4,4,5,4,4,4,3,5,4,2,1,3,1,5,2,5,4,3,1,4,1,3,1,3,2,8,3,9,7,7,9,7,9,6,8,5,9,9,5,7,7,9,8,9,6,8,8,8,7,6,4,7,9,7,6,9,6,8,3
"1789",1789,3,NA,1,NA,NA,4,7,3,5,5,2,5,2,4,1,3,2,4,3,4,3,1,5,4,5,5,5,4,5,3,4,5,2,5,3,4,4,2,24,1,1,5,5,"",1,5,2,1,1,3,5,5,4,1,2,4,1,4,3,1,3,4,3,2,4,3,2,4,1,4,3,4,3,5,1,5,5,2,4,3,4,4,5,2,1,4,3,4,5,4,5,2,2,2,2,4,3,1,4,4,5,3,3,1,4,3,4,1,4,7,7,7,8,8,7,7,9,9,8,7,9,5,7,5,7,9,9,6,7,2,7,6,7,6,6,7,5,9,9,9,9,9,9,7
"1795",1795,3,NA,1,NA,NA,4,4,3,5,4,2,5,1,5,1,3,1,3,3,4,2,1,5,3,5,4,5,2,4,4,2,4,1,4,2,2,3,2,22,1,1,5,5,"",1,2,1,1,1,3,4,2,1,2,1,3,3,2,1,1,3,3,1,1,2,1,2,3,2,1,2,3,1,3,1,3,3,2,2,3,3,1,2,3,2,1,1,4,4,2,3,1,3,2,2,3,2,1,4,3,3,3,4,2,3,2,4,2,3,8,8,9,8,8,6,5,8,7,6,7,7,8,7,8,7,8,7,7,7,7,7,6,8,6,8,7,6,7,7,6,7,3,3,6
