group,subject,Micro expressions (refers to very brief facial expressions that are involuntary and expose a person's real emotions) really exists.,"Ideomotor actions (refers to the thought-induced, slight, involuntary physical reactions) really exists.",Personality (refers to the unique and consistent way of thinking and behavior that people have ) really exists.,"Suggestion (refers to the influencing of a person to accept an idea, belief, or impulse uncritically) really exists.",Mind reading (refers to able to understand others’ psychological state and ideas immediately while communicating) really exists.,One can accurately determine whether a person is lying via micro expression.,One can accurately interpret a person's thoughts via ideomotor actions.,One can accurately predict a person's behavior via personality.,One can effectively control a person's behavior via suggestion.,One can fully understand a person's thoughts via mind reading.,"Now imagine a scenario where a psychologist gives the participate a coin that the participant can put the coin in any hand behind back and what the psychologist has to do is to find out which hand has the coin.(PBBQ General)

A well-trained psychologist can use micro expressions to accurately determine whether a person is lying (for example, psychologist can find out which hand has the coin via micro expression).","A well-trained psychologist can use ideomotor to accurately interpret a person's thoughts (for example, psychologist can find out which hand has the coin via ideomotor)."," A well-trained psychologist can use personality to accurately predict a person's behavior (for example, psychologist can predict which hand will have the coin via personality).","A well-trained psychologist can use suggestion to completely affect a person's behavior (for example, psychologist can influence participates’ decision on which hand to hide the coin via suggestion).","A well-trained psychologist can use mind reading to fully understand a person's thoughts (for example, psychologist can find out which hand has the coin via mind reading).","For the methods which the performance was accomplished through, please choose a number on the side of each statement to represent how much you agree or disagree with that statement. This only represents your own point of view. 
1=Strongly Disagree 2=Moderately Disagree 3=Slightly Disagree
4=Uncertain 5=Slightly Agree 6=Moderately Agree 7=Strongly Agree
  (1) paranormal, psychic or supernatural powers",  (2) ordinary magic trickery,(3) psychological skill,  (4) religious miracles,Micro expressions (refers to very brief facial expressions that are involuntary and expose a person's real emotions) really exists.,"Ideomotor actions (refers to the thought-induced, slight, involuntary physical reactions) really exists.",Personality (refers to the unique and consistent way of thinking and behavior that people have ) really exists.,"Suggestion (refers to the influencing of a person to accept an idea, belief, or impulse uncritically) really exists.",Mind reading (refers to able to understand others’ psychological state and ideas immediately while communicating) really exists.,One can accurately determine whether a person is lying via micro expression.,One can accurately interpret a person's thoughts via ideomotor actions.,One can accurately predict a person's behavior via personality.,One can effectively control a person's behavior via suggestion.,One can fully understand a person's thoughts via mind reading.,"Now imagine a scenario where a psychologist gives the participate a coin that the participant can put the coin in any hand behind back and what the psychologist has to do is to find out which hand has the coin.(PBBQ General)

A well-trained psychologist can use micro expressions to accurately determine whether a person is lying (for example, psychologist can find out which hand has the coin via micro expression).","A well-trained psychologist can use ideomotor to accurately interpret a person's thoughts (for example, psychologist can find out which hand has the coin via ideomotor)."," A well-trained psychologist can use personality to accurately predict a person's behavior (for example, psychologist can predict which hand will have the coin via personality).","A well-trained psychologist can use suggestion to completely affect a person's behavior (for example, psychologist can influence participates’ decision on which hand to hide the coin via suggestion).","A well-trained psychologist can use mind reading to fully understand a person's thoughts (for example, psychologist can find out which hand has the coin via mind reading)."
Magician,24,6,6,6,6,5,5,5,5,3,2,5,5,5,5,4,2,5,5,2,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3
Magician,25,7,7,7,7,7,7,7,7,7,7,6,6,4,7,4,1,1,6,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Magician,26,7,7,6,7,6,6,6,6,6,6,4,1,1,4,1,1,1,6,1,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6
Magician,27,7,6,6,6,4,5,5,4,2,2,5,4,4,5,2,1,5,5,1,6,6,6,6,5,6,4,4,3,3,6,6,5,5,4
Magician,28,5,6,5,6,5,5,5,5,5,4,5,5,3,4,4,2,3,5,1,5,6,4,6,4,5,4,5,4,4,5,5,5,5,4
Magician,29,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,2,2,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Magician,30,6,6,6,6,2,5,1,3,3,1,5,3,2,2,1,1,2,7,1,6,7,6,6,3,5,3,3,4,2,5,5,5,5,5
Magician,31,6,7,6,6,3,4,3,2,2,1,3,3,2,4,2,1,5,5,1,6,6,6,5,3,4,4,2,5,2,5,5,5,5,3
Magician,32,7,6,7,5,6,6,5,5,4,5,7,6,6,6,5,1,1,7,1,7,7,6,6,6,7,7,6,5,5,7,7,6,6,5
Magician,33,7,4,7,6,3,5,6,2,2,1,3,5,1,1,2,1,1,6,1,7,6,6,7,5,5,6,5,3,5,6,5,5,5,4
Magician,34,6,6,7,4,2,5,5,6,2,2,5,5,3,5,2,1,1,6,1,6,5,7,4,3,5,3,5,2,2,5,5,5,3,2
Magician,35,7,7,7,7,2,4,4,2,1,1,3,5,2,3,1,1,1,6,1,5,5,6,6,2,5,6,5,1,1,5,1,2,1,1
Magician,36,7,6,7,6,6,6,5,7,5,5,2,2,1,4,2,1,2,5,1,6,7,7,6,7,5,6,6,6,5,6,6,5,5,5
Magician,37,6,4,6,5,1,4,2,2,2,1,2,2,1,1,1,1,6,4,1,5,4,6,4,2,4,3,2,2,1,5,3,2,2,1
Magician,38,6,6,6,5,5,4,5,4,5,3,4,5,4,5,3,4,6,5,4,5,5,6,5,4,4,5,5,4,5,4,5,4,5,3
Magician,39,5,5,6,6,5,5,6,6,5,4,4,5,3,2,2,1,5,6,1,6,6,7,6,7,6,5,4,5,5,6,6,5,5,5
Magician,40,6,6,7,6,4,5,4,5,1,1,5,1,1,5,1,1,1,6,1,7,7,7,5,5,6,2,5,2,2,6,4,4,4,4
Magician,41,7,7,7,5,5,5,4,2,1,1,5,5,5,4,4,1,2,6,1,7,7,7,5,5,5,5,4,2,4,6,6,6,4,5
Magician,42,7,7,7,7,6,6,5,4,4,3,2,2,2,2,2,1,6,6,1,5,5,4,5,1,2,1,1,1,1,4,4,4,2,2
Magician,43,6,6,6,6,5,5,5,3,2,2,5,5,5,5,3,1,3,5,1,5,6,5,6,5,5,3,3,2,1,5,5,3,2,2
Magician,44,7,7,7,7,7,5,5,4,5,5,5,6,3,4,6,4,5,5,2,5,5,3,5,5,5,5,4,5,5,5,5,5,5,5
Psychologist,45,6,4,6,5,3,3,4,5,4,3,3,3,3,3,3,1,1,5,1,5,4,5,5,3,4,4,4,4,4,5,4,4,3,2
Psychologist,46,4,5,6,6,5,6,5,5,6,5,5,5,5,5,6,6,6,6,6,5,5,5,5,6,6,5,5,5,5,5,5,6,6,5
Psychologist,47,7,7,7,6,6,5,3,3,3,3,3,6,3,5,6,1,3,5,1,7,7,7,6,3,5,3,5,5,3,5,5,3,5,3
Psychologist,48,5,5,6,6,4,3,3,6,6,3,4,3,3,3,3,1,5,4,1,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4
Psychologist,49,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7
Psychologist,50,6,6,7,7,4,5,5,4,5,6,3,4,5,5,5,2,4,6,1,5,6,5,7,4,5,7,6,6,7,6,6,6,6,6
Psychologist,51,6,6,6,6,4,4,4,4,3,1,4,4,3,1,1,1,1,4,1,2,3,5,4,1,1,1,1,1,1,4,4,4,4,4
Psychologist,52,6,6,5,5,1,5,5,2,2,1,4,4,1,2,1,1,6,4,1,5,5,5,5,1,5,5,2,1,1,2,2,1,3,1
Psychologist,53,6,4,6,6,4,4,3,3,4,3,5,4,4,4,4,2,2,5,2,5,5,6,6,5,5,5,3,3,3,5,5,5,5,5
Psychologist,54,6,6,6,3,2,5,3,2,2,1,5,6,2,2,2,1,1,5,1,6,5,2,5,2,5,4,2,2,2,5,4,3,6,3
Psychologist,55,6,7,5,5,3,5,4,5,2,1,5,2,2,4,1,1,2,6,1,6,6,5,5,2,5,3,4,2,1,6,5,4,5,3
Psychologist,56,6,6,6,2,2,5,1,2,2,1,2,2,1,2,1,1,1,5,1,6,6,6,7,2,4,2,2,1,1,6,5,3,2,1
Psychologist,57,6,6,6,6,4,3,5,3,6,5,4,3,2,6,1,1,1,5,1,7,7,7,7,5,5,5,5,5,1,6,6,6,6,1
Psychologist,58,6,5,6,5,5,5,5,6,4,3,6,3,3,5,4,1,2,6,1,6,5,5,6,5,6,5,6,4,5,6,5,5,5,6
Psychologist,59,6,6,7,7,5,2,2,2,2,2,3,2,2,3,2,1,1,5,1,5,5,5,5,3,2,2,2,2,1,3,3,3,3,3
Psychologist,60,6,5,6,5,3,6,6,5,3,2,6,6,5,5,3,1,2,5,1,6,6,6,6,2,6,6,5,4,2,6,6,6,5,2
Psychologist,61,6,6,6,6,4,6,6,4,4,4,6,6,4,5,5,2,2,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Psychologist,62,7,5,5,7,4,2,2,5,1,1,3,6,5,4,5,1,1,2,3,7,6,5,7,3,1,2,2,2,2,5,5,3,5,5
Psychologist,63,2,6,6,6,4,5,5,5,3,2,5,5,5,5,3,1,1,6,1,6,6,6,6,5,5,5,3,5,2,6,6,5,5,3
Psychologist,64,6,6,6,5,2,5,5,3,2,2,3,2,2,2,2,1,6,6,1,6,6,6,5,3,5,5,5,5,2,6,6,4,5,2
Psychologist,65,6,5,5,5,5,4,3,3,3,3,5,3,3,3,3,1,1,5,1,5,5,5,5,5,5,3,3,3,3,5,5,5,5,5
Psychologist,66,6,6,6,6,5,6,5,5,5,2,3,3,3,2,2,1,5,5,1,6,6,3,6,5,6,6,3,3,3,5,5,5,5,3
Psychologist,67,7,7,7,7,6,6,6,4,4,4,5,5,5,5,5,2,2,7,2,7,7,7,7,6,6,6,6,6,6,6,6,7,7,5
Psychologist,68,6,6,6,5,2,3,2,2,2,2,2,2,2,5,2,2,2,5,2,6,6,6,6,3,3,3,3,2,2,5,3,2,2,2
Psychologist,69,6,6,7,6,2,1,2,1,2,1,2,1,1,2,1,1,4,6,1,6,6,7,6,1,2,3,1,3,1,4,4,2,1,1
Psychologist,70,7,7,7,7,5,7,7,7,7,7,5,6,3,2,2,2,2,5,2,6,6,6,7,7,6,5,3,6,6,6,6,6,3,2
Psychologist,71,7,5,6,6,4,4,5,5,4,4,5,4,5,5,5,1,5,5,1,6,6,6,6,5,5,5,5,5,4,5,5,6,5,5
Psychologist,72,6,5,5,6,2,5,4,5,5,2,4,3,4,5,3,1,5,5,1,5,5,5,6,3,5,5,5,5,3,5,5,5,5,5
Psychologist,73,6,5,6,6,3,4,5,5,2,3,5,5,5,5,4,1,1,5,1,5,5,5,5,5,5,5,5,3,3,5,5,5,5,3
Psychologist,74,7,7,7,7,6,6,3,5,4,4,6,6,5,4,3,1,1,5,1,7,7,6,6,6,5,5,5,5,5,6,6,6,7,5
Psychologist,75,6,6,7,5,4,3,3,5,2,3,1,5,2,6,1,1,1,6,1,6,6,7,6,6,5,5,5,5,6,2,2,5,5,2
Psychologist,76,4,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5,3,5,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6
Psychologist,77,6,5,6,6,4,3,3,2,3,2,3,3,3,3,2,1,2,6,1,3,5,6,6,2,6,5,5,2,1,6,5,5,3,3
Psychologist,78,7,4,2,5,2,4,4,3,2,2,6,4,4,6,2,2,2,6,2,7,7,5,6,3,4,4,4,5,3,5,5,5,5,3
Psychologist,79,6,6,6,6,3,3,3,3,3,2,5,3,3,3,2,2,3,6,2,6,6,6,6,5,5,3,3,3,3,6,5,5,5,5
Psychologist,80,6,5,6,6,4,4,5,3,2,2,5,4,3,2,2,2,4,6,2,5,6,6,6,5,4,4,5,2,2,6,5,3,3,2
Psychologist,81,6,6,6,6,3,5,5,5,3,2,4,5,2,4,2,1,4,5,1,6,6,6,6,2,5,5,5,3,1,5,5,5,5,2
Psychologist,82,6,4,6,4,3,5,4,5,5,2,5,3,5,5,5,3,3,3,3,6,5,5,5,5,6,5,5,5,5,5,5,6,5,5
Psychologist,83,7,6,7,6,4,6,5,4,2,1,5,3,3,3,1,1,5,7,1,6,5,6,5,2,5,5,4,3,1,6,4,5,6,5
Psychologist,84,6,6,6,5,4,4,4,5,4,3,5,5,5,5,4,2,3,6,1,6,6,6,5,3,5,5,5,3,3,6,6,6,6,5
Psychologist,85,7,7,6,7,6,7,7,6,5,6,5,6,3,4,3,2,3,6,1,7,7,6,6,6,6,5,6,5,5,6,6,6,6,5
Psychologist,86,6,6,6,6,5,5,3,3,2,1,4,4,3,2,1,1,2,7,1,6,6,7,6,5,4,6,6,5,5,5,5,6,6,5
Psychologist,87,6,5,3,6,1,5,5,2,6,1,1,2,2,5,1,1,7,7,1,7,6,5,7,3,5,3,4,6,2,1,6,4,6,1
Psychologist,88,5,6,7,6,2,2,3,1,1,1,2,5,1,5,1,1,4,5,1,5,6,7,5,1,2,3,1,2,1,2,2,1,2,1
Psychologist,89,7,4,7,1,6,6,4,6,2,1,2,4,1,1,1,1,7,7,1,6,6,7,4,6,6,5,6,2,3,6,6,6,6,6
Psychologist,90,5,3,7,7,5,3,1,3,5,2,3,2,6,7,2,1,1,6,1,6,5,5,5,3,5,5,4,5,2,6,5,4,5,2
